code,formation,start_time,location,operation_line,url
39K,233H023,08:34,<br/>,東神奈0613→0708八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=39K
39K,233H023,08:34,<br/>,┌東神奈0813←0715八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=39K
39K,233H023,08:34,<br/>,└東神奈0816→0913八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=39K
39K,233H023,08:34,<br/>,┌東神奈1022←0921八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=39K
39K,233H023,08:34,<br/>,└東神奈1032→1117橋　本┐,https://loo-ool.com/rail/H/23/20250909/?U=39K
39K,233H023,08:34,<br/>,┌桜木町1216←1125橋　本┘,https://loo-ool.com/rail/H/23/20250909/?U=39K
39K,233H023,08:34,<br/>,└桜木町1221→1315八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=39K
39K,233H023,08:34,<br/>,┌東神奈1421←1320八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=39K
39K,233H023,08:34,<br/>,└東神奈1432→1517橋　本┐,https://loo-ool.com/rail/H/23/20250909/?U=39K
39K,233H023,08:34,<br/>,┌桜木町1618←1525橋　本┘,https://loo-ool.com/rail/H/23/20250909/?U=39K
39K,233H023,08:34,<br/>,└桜木町1623→1729八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=39K
39K,233H023,08:34,<br/>,┌東神奈1830←1734八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=39K
39K,233H023,08:34,<br/>,└東神奈1838→1936八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=39K
39K,233H023,08:34,<br/>,┌東神奈2041←1944八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=39K
39K,233H023,08:34,<br/>,└東神奈2047→2145八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=39K
39K,233H023,08:34,<br/>,┌東神奈2248←2153八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=39K
39K,233H023,08:34,<br/>,└東神奈2258→2354八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=39K
39K,233H023,08:34,<br/>,町　田0025←2359八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=39K
19K,233H007,11:21,<br/>,小　机0514→0558八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=19K
19K,233H007,11:21,<br/>,┌東神奈0703←0607八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=19K
19K,233H007,11:21,<br/>,└東神奈0707→0806八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=19K
19K,233H007,11:21,<br/>,┌東神奈0913←0811八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=19K
19K,233H007,11:21,<br/>,└東神奈0920→1018八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=19K
19K,233H007,11:21,<br/>,┌桜木町1125←1029八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=19K
19K,233H007,11:21,<br/>,└桜木町1132→1242八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=19K
19K,233H007,11:21,<br/>,┌桜木町1345←1249八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=19K
19K,233H007,11:21,<br/>,└桜木町1352→1502八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=19K
19K,233H007,11:21,<br/>,┌桜木町1605←1509八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=19K
19K,233H007,11:21,<br/>,└桜木町1614→1717八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=19K
19K,233H007,11:21,<br/>,┌東神奈1822←1726八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=19K
19K,233H007,11:21,<br/>,└東神奈1831→1928八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=19K
19K,233H007,11:21,<br/>,┌桜木町2040←1933八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=19K
19K,233H007,11:21,<br/>,└桜木町2049→2155八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=19K
19K,233H007,11:21,<br/>,┌桜木町2314←2207八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=19K
19K,233H007,11:21,<br/>,└桜木町2322→0028八王子,https://loo-ool.com/rail/H/23/20250909/?U=19K
35K,233H024,08:41,<br/>,東神奈0604→0659八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=35K
35K,233H024,08:41,<br/>,┌桜木町0811←0704八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=35K
35K,233H024,08:41,<br/>,└桜木町0817→0924八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=35K
35K,233H024,08:41,<br/>,┌桜木町1025←0929八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=35K
35K,233H024,08:41,<br/>,└桜木町1031→1142八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=35K
35K,233H024,08:41,<br/>,┌桜木町1245←1149八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=35K
35K,233H024,08:41,<br/>,└桜木町1252→1402八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=35K
35K,233H024,08:41,<br/>,┌桜木町1505←1409八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=35K
35K,233H024,08:41,<br/>,└桜木町1512→1623八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=35K
35K,233H024,08:41,<br/>,┌桜木町1741←1637八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=35K
35K,233H024,08:41,<br/>,└桜木町1746→1853八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=35K
35K,233H024,08:41,<br/>,┌東神奈1957←1900八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=35K
35K,233H024,08:41,<br/>,└東神奈2008→2054橋　本,https://loo-ool.com/rail/H/22/20250909/?U=35K
09K(1),233H021,06:33,<br/>,小　机0628→0714八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=09K
09K(1),233H021,06:33,<br/>,┌桜木町0824←0719八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=09K
09K(1),233H021,06:33,<br/>,└桜木町0832→0925橋　本,https://loo-ool.com/rail/H/22/20250909/?U=09K
09K(1),233H021,06:33,<br/>,－－－－－－－－－－－,https://loo-ool.com/rail/H/22/20250909/?U=09K
09K(1),233H021,06:33,<br/>,┌東神奈1835←1751橋　本,https://loo-ool.com/rail/H/22/20250909/?U=09K
09K(1),233H021,06:33,<br/>,└東神奈1843→1943八王子┐,https://loo-ool.com/rail/H/22/20250909/?U=09K
09K(1),233H021,06:33,<br/>,┌東神奈2051←1955八王子┘,https://loo-ool.com/rail/H/22/20250909/?U=09K
09K(1),233H021,06:33,<br/>,└東神奈2104→2148橋　本,https://loo-ool.com/rail/H/22/20250909/?U=09K
45K(1),233H003,08:30,<br/>,中　山0625→0703八王子┐,https://loo-ool.com/rail/H/23/20250909/?U=45K
45K(1),233H003,08:30,<br/>,┌東神奈0806←0709八王子┘,https://loo-ool.com/rail/H/23/20250909/?U=45K
45K(1),233H003,08:30,<br/>,└東神奈0812→0858橋　本,https://loo-ool.com/rail/H/23/20250909/?U=45K
45K(1),233H003,08:30,<br/>,－－－－－－－－－－－,https://loo-ool.com/rail/H/23/20250909/?U=45K
